5  MATHEMATICS. NATURAL SCIENCES
502/504  Environmental science. Conservation of natural resources. Threats to the environment and protection against them
502  The environment and its protection
502.3/.7  Parts of the environment
504  Threats to the environment
51  Mathematics
510  Fundamental and general considerations of mathematics
510.2  General problems of mathematical logic. Foundations of mathematics
510.3  Set theory
510.6  Mathematical logic
511  Number theory
512  Algebra
514  Geometry
514.7  Differential geometry. Algebraic and analytic methods in geometry
515.1  Topology
517  Analysis
517.9  Differential equations. Integral equations. Other functional equations. Finite differences. Calculus of variations. Functional analysis
519.1  Combinatorial analysis. Graph theory
519.2  Probability. Mathematical statistics
519.6  Computational mathematics. Numerical analysis
519.7  Mathematical cybernetics
519.8  Operational research (OR): mathematical theories and methods
519.83  Game theory
519.85  Mathematical programming
52  Astronomy. Astrophysics. Space research. Geodesy
520  Astronomical instruments and techniques
521  Theoretical astronomy. Celestial mechanics
521.9  Astrometry. Spherical astronomy
523  The Solar System
523.3  Earth-Moon system
523.4  Planets and their satellites. Planetology
523.6  Interplanetary medium. Comets. Meteors. Meteorites
523.9  The Sun. Solar physics
524  Stars. Stellar systems. The Universe
524.1  Cosmic rays. Primary cosmic rays
524.3  Stars
524.4  Star clusters. Associations of stars
524.5  Interstellar medium. Galactic nebulae
524.6  The Galaxy (Milky Way)
524.7  Extragalactic systems
524.8  The Universe. Metagalaxy. Cosmology
528  Geodesy. Surveying. Photogrammetry. Remote sensing. Cartography
528.1  Theory of errors and adjustment in geodesy and photogrammetry
528.2  Figure of the Earth. Earth measurement. Mathematical geodesy. Physical geodesy. Astronomical geodesy
528.3  Geodetic surveying
528.4  Field surveying. Land surveying. Cadastral survey. Topography. Engineering survey. Special fields of surveying
528.5  Geodetic instruments and equipment
528.7  Photogrammetry: aerial, terrestrial
528.8  Remote sensing
528.9  Cartography. Mapping (textual documents)
53  Physics
53.01/.09  Special auxiliary subdivision for physics
53.01  Theory and nature of phenomena
53.02  General laws of phenomena
53.03  Production and causes of phenomena
53.04  Effects of phenomena
53.05  Observation and recording of phenomena. Visual indication of phenomena
53.06  Application, utilization of phenomena
53.07  Apparatus for production and study of phenomena
53.08  General principles and theory of measurement and the design of measuring apparatus. Measurement methods
53.09  Dependence of phenomena on certain fundamental physical effects
531/534  Mechanics
531  General mechanics. Mechanics of solid and rigid bodies
531-1/-9  Special auxiliary subdivision for mechanics
531-1  One-dimensional. Lines
531-2  Two-dimensional. Planes. Surfaces
531-3  Three-dimensional. Bodies. Spaces
531-4  Hyperspace (space of more than three dimensions)
531-9  Non-Euclidean spaces
531.1  Kinematics. Mathematical-mechanical geometry of motion
531.2  Statics. Forces. Equilibrium. Attraction
531.3  Dynamics. Kinetics
531.4  Work. Weight. Mass. Friction. Passive resistance
531.5  Gravity. Gravitation. Pendulums. Ballistics
531.6  Mechanical energy. Conservation of mechanical energy
531.7  Measurement of geometric and mechanical quantities: instruments, methods and units
531.8  Theory of machines. Technical mechanics in general
532  Fluid mechanics in general. Mechanics of liquids (hydromechanics)
532.1  Hydrostatics in general
532.2  Equilibrium of liquids
532.3  Immersed bodies (submerged bodies). Floating bodies
532.5  Liquid motion. Hydrodynamics
532.6  Surface phenomena. Surface tension. Capillarity
532.7  Kinetic theory of liquids. Osmosis. Solution and solutions
533  Mechanics of gases. Aeromechanics. Plasma physics
533.1  Properties of gases
533.2  Elasticity. Compressibility. Liquefaction. Gas mixing. Gaseous mixtures
533.5  Rarefied gases. Vacuum physics
533.6  Aerodynamics
533.7  Kinetic theory of gases. Continuity of state
533.9  Plasma physics
534  Vibrations. Waves. Acoustics
534.1  Vibration of bodies. Excitation of vibrations. Vibratory formations with distributed mass and elasticity
534.2  Propagation of vibrations. Processes in the acoustic field
534.3  Musical sounds and perception
534.4  Analysis and synthesis of sounds
534.5  Composition of vibrations
534.6  Acoustic measurements
534.7  Physiological acoustics. Medical acoustics
534.8  Applications of acoustics (theory)
535  Optics
535-1/-9  Special auxiliary subdivision for optics
535-1/-3  Radiation according to wavelength. Hertzian waves. Light colours
535-1  Long waves. Infrared
535-2  Visible light. Colours
535-3  Short waves
535-4  Polarized light
535-5  Natural light
535-6  Partially polarized light
535-7  Totally reflected light
535.1  Theory of light
535.2  Propagation and energetics of radiation. Photometry
535.3  Propagation. Reflection. Refraction. Absorption. Emission
535.4  Interference. Diffraction. Scattering by diffraction
535.5  Polarization. Double refraction. Dispersion in anisotropic bodies
535.6  Colours and their properties. Colour theory
535.8  Applications of optics in general
536  Heat. Thermodynamics. Statistical physics
536.1  General theory of heat
536.2  Heat conduction. Heat transfer
536.3  Effect of bodies on heat radiation
536.4  Effect of heat input and temperature on volume and structure of bodies
536.5  Temperature. Temperature scales. Temperature measurement. Thermometers. Temperature control
536.6  Measurement of heat quantity. Calorimetry
536.7  Thermodynamics. Energetics
537  Electricity. Magnetism. Electromagnetism
537.2  Static electricity. Electrostatics
537.3  Current electricity. Electric current. Electrokinetics
537.5  Electron and ion phenomena
537.6/.8  Magnetism. Electromagnetism
537.6  Magnetism
537.8  Electromagnetism. Electromagnetic field. Electrodynamics
538.9  Condensed matter physics. Solid state physics
539  Physical nature of matter
539.1  Nuclear physics. Atomic physics. Molecular physics
539.2  Properties and structure of molecular systems
539.3  Elasticity. Deformation. Mechanics of elastic solids
539.4  Strength. Resistance to stress
539.5  Properties of materials affecting deformability
539.6  Intermolecular forces
539.8  Other physico-mechanical effects
54  Chemistry. Crystallography. Mineralogy
54-1/-4  Special auxiliary subdivision for state of substance, chemicals
54-1  State of substance
54-3  Particular kinds of compound
54-4  Chemicals. Reagents
54.01/.08  Special auxiliary subdivision for composition, production, preparation and analysis
54.01  Chemical substances and systems. Origin. Occurrence. Phases
54.02  Composition. Structure. Isotopes
54.05  Production. Preparation. Isolation. Purification etc.
54.06  Analysis, investigation and handling in general
54.07  Apparatus and equipment for preparation, investigation and analysis
54.08  Measurement principles, methods, techniques. Instrumentation
542  Practical laboratory chemistry. Preparative and experimental chemistry
542.1  Chemical laboratories
542.2  Laboratory apparatus and instrumentation in general. Laboratory methods in general
542.3  Measurement of weight, mass. Measurement of volume
542.4  Heat and cold application
542.5  Use of flames. Blowlamps
542.6  Working with liquids
542.7  Working with gases
542.8  Physical, physicochemical and electrical operations
542.9  Chemical reactions. Special chemical processes
543  Analytical chemistry
543.2  Chemical methods of analysis
543.3  Water sampling and analysis
543.4  Spectral analysis methods. Optical analysis methods
543.5  Physicochemical methods of analysis (other than optical methods)
543.6  Analysis of different substances. Analytical control in production conditions
543.9  Analysis by biological and biochemical reactions. Biological methods used for analytical purposes
544  Physical chemistry
544.01/.07  Special auxiliary subdivision for physical chemistry
544.01  Chemical substances and systems. Origin. Natural state. Phases
544.02  Chemical composition. Structure. Isotopes etc.
544.03  Physical properties and phenomena. Constants. Effects acting on state and properties of matter
544.07  Instruments and equipment
544.1  Chemical structure of matter
544.2  Physical chemistry of solids, liquids and gases
544.3  Chemical thermodynamics
544.4  Chemical kinetics. Catalysis
544.5  Chemistry of high energy processes
544.6  Electrochemistry
544.7  Chemistry of surface phenomena and colloids
546  Inorganic chemistry
546.1  Nonmetals and metalloids in general
546.3  Metals in general
547  Organic chemistry
547.1  Classification of organic compounds. Element-organic compounds
548/549  Mineralogical sciences. Crystallography. Mineralogy
548  Crystallography
548.1  Mathematical crystallography. Continuum theory of crystals
548.2  Crystal growths. Crystalline aggregates
548.3  Crystal chemistry
548.4  Irregularities in crystals
548.5  Formation, growth and solution of crystals
548.7  Fine structure of crystals. Discontinuum theory of crystals
549  Mineralogy. Special study of minerals
549.2/.8  Systematic mineralogy
549.2  Native elements and alloys
549.3  Sulphides. Sulpho-salts
549.4  Halides
549.5  Oxygen compounds
549.6  Silicates. Titanates. Zirconates. Stannates
549.7  Other compounds of oxyacids
