6  APPLIED SCIENCES. MEDICINE. TECHNOLOGY
60  Biotechnology
601  Fundamental concepts
602  Processes and techniques in biotechnology
604  Biotechnology products
606  Applications of biotechnology
608  Issues in biotechnology
61  Medical sciences
611612  Human biology
611  Anatomy. Human and comparative anatomy
612  Physiology. Human and comparative physiology
612.1.8  Systematic physiology
612.1  Blood. Cardiovascular, circulatory system
612.2  Respiration. Breathing. Respiratory system
612.3  Alimentation. Eating. Digestion. Nutrition
612.4  Glandular system. Secretion. Excretion
612.5  Animal heat. Thermal processes
612.6  Reproduction. Growth. Development
612.7  Motor functions. Organs of locomotion. Voice. Integument
612.8  Nervous system. Sensory organs
613  Hygiene generally. Personal health and hygiene
613.2  Dietetics. Nutrition principles applied to feeding and foods
613.3  Drinks. Curative drinks. Medicinal waters. Liquid diet
613.4  Personal hygiene. Clothing
613.5  Hygiene of dwellings
613.6  Occupational health hazards. Occupational health and hygiene
613.7  Health and hygiene of leisure, recreation, sleep
613.8  Health and hygiene of the nervous system. Health and ethics
613.9  Health and hygiene in relation to age, sex, ethnicity
614  Public health and hygiene. Accident prevention
614.1  Population. Depopulation
614.2  Public and professional organization of health
614.3  Sanitary inspection and control
614.39  National health services
614.4  Prevention and control of communicable (infectious, contagious) diseases. Prevention of epidemics
614.6  Cemetery hygiene. Disposal of the dead
614.7  Hygiene of air, water, soil. Pollution and its control
614.8  Accidents. Risks. Hazards. Accident prevention. Personal protection. Safety
614.9  Animal health. Veterinary hygiene
615  Pharmacology. Therapeutics. Toxicology
615.1  General and professional pharmacy
615.2  Medicaments according to their principal action
615.3  Medicaments according to their origin
615.4  Pharmaceutical preparations. Medical material. Equipment
615.8  Physiotherapy. Physical therapy. Radiotherapy. Other nonmedicinal therapeutic treatment
615.9  General toxicology. General studies of poisons and poisoning (intoxication)
616  Pathology. Clinical medicine
616-001-009  Special auxiliary subdivision for morbid processes
616-001  Traumata. Injuries. Wounds
616-002  Inflammation. Irritation. Engorgement (hyperaemia). Mucous congestion
616-003  Regressive and reparative processes
616-004  Sclerosis. Hardening (induration). Cirrhosis
616-005  Local circulatory disorders
616-006  Tumours. Neoplasms. Blastomata. Choristomata. Hamartomata. Oncology
616-007  Defective structural development. Physiological deformities. Malformations. Hemiterata. Oversized, undersized organs. Teratology. Monsters. Abnormalities
616-008  Functional and metabolic disorders
616-009  Neural (nervous) disorders
616-01-099  Special auxiliary subdivision for general aspects of pathology
616-01  Various aspects of disease, patients and medical intervention
616-02  Aetiology. Science of the causes of disease
616-03  Various forms of disease, of treatment, of administration of medicaments
616-05  Persons and personal characteristics in pathology. Characteristics of the patient
616-06  Complications. Consequences. Repercussions. Concurrence, simultaneous state. Correlation. Previous illnesses. Previous state of health. Antagonism of two diseases
616-07  Semeiology. Symptomatology. Signs and symptoms. Examination. Diagnosis. Propaedeutics
616-08  Treatment
616-091  Pathological anatomy. Morbid anatomy
616-092  Pathological physiology. Processes, mode of action of diseases. Pathogenesis. Study of origin of diseases
616-093  Microbial techniques
616-094  Microbial morphology
616-095  Microbial physiology
616-097  Immunogenicity
616-098  Microbial physics, chemistry, metabolism, catabolism
616-099  Poisoning. Intoxication
616-71-78  Special auxiliary subdivision for medical and surgical instrumentation and equipment
616-71  Medical instruments and equipment in general
616-72  Surgical and therapeutic instruments
616-74  Reinforcement and reparative materials and equipment
616-76  Corrective and protective appliances, aids etc.
616-77  Prosthetic materials and parts. Artificial organs etc.
616-78  Machines and mechanical apparatus
616.1.9  Special pathology
616.1  Pathology of the circulatory system, blood vessels. Cardiovascular complaints
616.2  Pathology of the respiratory system. Complaints of the respiratory organs
616.3  Pathology of the digestive system. Complaints of the alimentary canal
616.31  Stomatology. Oral cavity. Mouth. Diseases of the mouth and teeth
616.4  Pathology of the lymphatic system, haemopoietic (haematopoietic) organs, endocrines
616.5  Skin. Common integument. Clinical dermatology. Cutaneous complaints
616.6  Pathology of the urogenital system. Urinary and sexual (genital) complaints. Urology
616.7  Pathology of the organs of locomotion. Skeletal and locomotor systems
616.8  Neurology. Neuropathology. Nervous system
616.89  Psychiatry. Pathological psychiatry. Psychopathology. Phrenopathies. Psychoses. Mental abnormality. Morbid mental states. Behavioural and emotional disturbances
616.9  Communicable diseases. Infectious and contagious diseases, fevers
617  Surgery. Orthopaedics. Ophthalmology
617.3  Orthopaedics in general
617.7  Ophthalmology. Eye disorders and treatment
618  Gynaecology. Obstetrics
62  Engineering. Technology in general
62-1-9  Special auxiliary subdivision for technology in general
62-1  General characteristics of machines
62-2  Fixed and movable parts, components of machines
62-3  Fluid control parts and drives. Valves, closures etc.
62-4  State, condition, form of materials, surfaces, objects, products
62-5  Operation and control of machines and processes
