8  LANGUAGE. LINGUISTICS. LITERATURE
80  General questions relating to both linguistics and literature. Philology
801  Prosody. Auxiliary sciences and sources of philology
801.6  Prosody: metre, rhythm, rhyme and verse pattern
801.7  Auxiliary sciences and studies of philology
801.8  Sources of linguistics and philology. Collections of texts
808  Rhetoric. The effective use of language
808.1  Authorship. Literary activity and technique
808.2  Editing. Adapting and arranging copy for publication
808.5  Rhetoric of speech. Art or technique of oral expression
81  Linguistics and languages
81-11  Schools and trends in linguistics
81-112  Diachronic linguistics (historical linguistics)
81-114  Synchronic linguistics (static linguistics)
81-116  Structuralism. Structural linguistics
81-13  Methodology of linguistics. Methods and means
81`01/`08  Special auxiliary numbers for origins and periods of languages
81`01  Old period. Archaic period
81`02  Classical period
81`04  Middle period
81`06  Modern period
81`08  Revived language
81`1/`4  Special auxiliary subdivision for subject fields and facets of linguistics and languages
81`1  General linguistics
81`2  Theory of signs. Theory of translation. Standardization. Usage. Geographical linguistics
81`22  General theory of signs in relation to linguistics. Semiology. Semiotics
81`23  Psycholinguistics. Psychology of language
81`24  Practical knowledge of languages
81`25  Theory of translation
81`26  Language planning. Control of language. Standardization of language
81`27  Sociolinguistics. Usage of language
81`28  Dialectology. Geographical linguistics. Areal linguistics
81`3  Mathematical and applied linguistics. Phonetics. Graphemics. Grammar. Semantics. Stylistics
81`32  Mathematical linguistics
81`33  Applied linguistics
81`34  Phonetics. Phonology
81`35  Graphemics. Orthography. Spelling
81`36  Grammar
81`37  Semantics
81`38  General stylistics
81`4  Text linguistics, Discourse analysis. Typological linguistics
81`42  Text linguistics. Discourse analysis
81`44  Typological linguistics
811  Languages
811.1/.9  All languages natural or artificial
811.1/.8  Individual natural languages
811.1/.2  Indo-European languages
811.11  Germanic languages
811.111  English language
811.112  West Germanic languages (other than English)
811.112.2  German language (High German, Standard written German)
811.112.5  Dutch language
811.113  North Germanic (Nordic) languages
811.113.4  Danish language
811.113.5  Norwegian language
811.113.6  Swedish language
811.12  Italic languages
811.124  Latin language
811.13  Romance / Romanic languages
811.131  Italo-Romance / Italo-Romanic languages
811.131.1  Italian language
811.133  Gallo-Romance / Gallo-Romanic languages
811.133.1  French language
811.134  Ibero-Romance / Ibero-Romanic languages
811.134.1  Catalan language
811.134.2  Spanish language
811.134.3  Portuguese language
811.135  Balkan Romance / Balkan Romanic languages
811.135.1  Romanian language
811.14  Greek (Hellenic) language
811.16  Slavic / Slavonic languages
811.161  East Slavic / Slavonic languages
811.161.1  Russian language
811.161.2  Ukrainian language
811.161.3  Belarusian language
811.162  West Slavic / Slavonic languages
811.162.1  Polish language
811.162.3  Czech language
811.162.4  Slovak language
811.163  South Slavic / Slavonic languages
811.163.2  Bulgarian language
811.163.3  Macedonian language
811.163.4  Serbian and Croatian languages
811.163.41  Serbian language
811.163.42  Croatian language
811.163.6  Slovenian / Slovene language
811.17  Baltic languages
811.172  Lithuanian language
811.174  Latvian / Lettish language
811.18  Albanian language
811.19  Armenian language
811.21/.22  Indo-Iranian languages
811.21  Indic languages
811.214  Modern Indic languages
811.214.2  Central Modern Indic languages
811.214.21  Hindi language
811.214.3  Eastern Modern Indic languages
811.214.32  Bengali (Bangla) language
811.3  Dead languages of unknown affiliation. Caucasian languages
811.34  Dead languages of unknown affiliation, spoken in the Mediterranean and Near East (except Semitic)
811.35  Caucasian languages
811.353  Southern (Kartvelian) group
811.353.1  Georgian language
811.4  Afro-Asiatic, Nilo-Saharan, Congo-Kordofanian, Khoisan languages
811.5  Ural-Altaic, Palaeo-Siberian, Eskimo-Aleut, Dravidian and Sino-Tibetan languages. Japanese. Korean. Ainu
811.51  Ural-Altaic languages
811.511  Uralic languages
811.511.1  Finno-Ugric languages
811.511.11  Finnic languages
811.511.111  Finnish language
811.511.113  Estonian language
811.511.14  Ugric languages
811.511.141  Hungarian language
811.521  Japanese language
811.58  Sino-Tibetan languages
811.581  Chinese languages
811.6  Austro-Asiatic languages. Austronesian languages
811.7  Indo-Pacific (non-Austronesian) languages. Australian languages
811.8  American indigenous languages
811.9  Artificial languages
811.92  Artificial languages for use among human beings. International auxiliary languages (interlanguages)
811.922  Esperanto language
82  Literature
82-1/-9  Special auxiliary subdivision for literary forms, genres
82-1  Poetry. Poems. Verse
82-2  Drama. Plays
82-3  Fiction. Prose narrative
82-31  Novels. Full-length stories
82-32  Short stories. Novellas
82-4  Essays
82-5  Oratory. Speeches
82-6  Letters. Art of letter-writing. Correspondence. Genuine letters. Other works in epistolary form
82-7  Prose satire. Humour, epigram, parody etc.
82-8  Miscellanea. Polygraphies. Selections
82-9  Various other literary forms
82-92  Periodical literature. Writings in serials, journals, reviews. Journalism. Occasional literature. Polemic, political writings. Pamphleteering
82-94  History as literary genre. Historical writing. Historiography. Chronicles. Annals. Memoirs. Journals. Diaries. Biography. Autobiography
82.02/.09  Special auxiliary subdivision for theory, study and technique of literature
82.02  Literary schools, trends and movements
82.09  Literary criticism. Literary studies
82.091  Comparative literary studies. Comparative literature
821  Literatures of individual languages and language families
821.1/.2  Indo-European literature
821.11  Literature of Germanic languages
821.111  English literature
