2  RELIGIÓN. TEOLOGÍA
2-1/-9  Subdivisión auxiliar especial para religión
2-1  Teoría y filosofía de la religión. Naturaleza de la religión. Fenómeno religioso
2-13  Lo Santo. Lo sagrado. Lo sobrenatural. Objeto(s) de religión/culto
2-14  Dios. Dioses (Dios(es) personal(es) a diferencia de espíritus inmanentes)
2-15  Naturaleza de Dios(es)
2-17  El universo. Naturaleza del universo. Cosmología
2-18  El hombre. La humanidad. Antropología doctrinal
2-184  Relación del hombre con Dios(es)
2-2  Evidencias de religión
2-23  Libros sagrados. Escrituras. Textos religiosos
2-25  Literatura secundaria. Obras pseudocanónicas
2-27  Obras críticas
2-28  Otros textos religiosos
2-3  Personas en la religión
2-31  Originador, fundador, figura central de la fe
2-32  Mesías
2-34  Mártires
2-35  Ascetas. Ermitaños. Faquires
2-36  Santos. Bodhisattvas. Iluminados
2-37  Mahatmas. Gurús. Sabios
2-38  Carismáticos. Personas con poderes sobrenaturales
2-4  Actividades religiosas. Práctica religiosa
2-42  Comportamiento moral. Teología moral
2-43  Costumbres y prácticas sociales. Teología social
2-46  Caridad. Apoyo a los demás. Actividades pastorales. Teología pastoral en sentido amplio
2-47  Educación religiosa
2-475  Predicación (como educación e instrucción)
2-5  Culto en general. Ritos y ceremonias
2-523  Edificios para uso religioso. Eclesiología
2-526  Objetos de culto. Mobiliario y decoración
2-53  Actos de culto (por los participantes)
2-54  Ceremonias por su propósito
2-55  Sacramentos. Sacramentales
2-56  Celebración
2-6  Procesos en la religión
2-65  Comparación de religiones
2-67  Relaciones entre fes o con la sociedad en general. Religión y sociedad
2-7  Organización y administración religiosa
2-72  Naturaleza y estructura de la religión organizada, iglesia. Eclesiología
2-73  Gobierno de la religión
2-74  Administración legal. Derecho religioso. Derecho canónico
2-76  Reclutamiento. Actividad misionera. Misiones en general. Misionología
2-77  Estructura organizativa de la fe, religión
2-78  Organizaciones religiosas. Sociedades y asociaciones religiosas
2-8  Religiones caracterizadas por diversas propiedades
2-84  Propiedades relativas al Estado
2-87  Grupos cismáticos. Herejías
2-9  Historia de la fe, religión, denominación o iglesia
21/29  Sistemas religiosos. Religiones y fes
21  Religiones prehistóricas. Religiones de sociedades primitivas
212  Religiones prehistóricas
213  Religiones de sociedades primitivas
22  Religiones originarias del Lejano Oriente
221  Religiones de China
221.3  Taoísmo
223  Religiones de Corea
225  Religiones de Japón
23  Religiones originarias del subcontinente indio. Religión hindú en sentido amplio
233  Hinduismo en sentido estricto
234  Jainismo
235  Sikhismo
24  Budismo
241  Budismo Hinayana. El pequeño vehículo. Budismo Theravada. Escuela Pali
242  Budismo Mahayana. El gran vehículo
243  Lamaísmo
244  Budismo japonés
25  Religiones de la antigüedad. Cultos y religiones menores
251  Religión del antiguo Egipto
252  Religiones de Mesopotamia
254  Religiones de Irán
255  Religiones de la antigüedad clásica
257  Religiones de Europa
258  Religiones de América del Sur y Central. Religiones indígenas precolombinas
26  Judaísmo
261  Religión del periodo bíblico. Judaísmo antiguo. Religión del Antiguo Testamento
262  Judaísmo Askenazí
264  Judaísmo Sefardí
265  Judaísmo Ortodoxo
266  Judaísmo Progresista
267  Movimientos modernos surgidos del judaísmo
27  Cristianismo
271/279  Iglesias y denominaciones cristianas
271  Iglesia Oriental. Cristianismo Oriental
272/279  Iglesia Occidental. Cristianismo Occidental
272/273  Iglesia Católica
272  Iglesia Católica Romana
273  Iglesias episcopales no católico-romanas
274/278  Iglesias protestantes
274  Protestantismo en general. Protestantes. Disidentes. Puritanos
275  Iglesias reformadas
276  Anabaptistas
277  Iglesias libres (Free churches). No conformistas
278  Otras iglesias protestantes
279  Movimientos e iglesias cristianas modernas
28  Islam
281  Sufismo
282  Sunismo. Islam sunita
284  Chiismo. Islam chiita
285  Babismo-Bahaísmo
286  Bahaísmo
29  Movimientos espirituales modernos
