5  MATEMÁTICAS. CIENCIAS NATURALES
502/504  Ciencia del medio ambiente. Conservación de los recursos naturales. Amenazas al medio ambiente y protección contra ellas
502  El medio ambiente y su protección
502.3/.7  Partes del medio ambiente
504  Amenazas al medio ambiente
51  Matemáticas
510  Consideraciones fundamentales y generales de las matemáticas
510.2  Problemas generales de la lógica matemática. Fundamentos de las matemáticas
510.3  Teoría de conjuntos
510.6  Lógica matemática
511  Teoría de números
512  Álgebra
514  Geometría
514.7  Geometría diferencial. Métodos algebraicos y analíticos en geometría
515.1  Topología
517  Análisis
517.9  Ecuaciones diferenciales. Ecuaciones integrales. Otras ecuaciones funcionales. Diferencias finitas. Cálculo de variaciones. Análisis funcional
519.1  Análisis combinatorio. Teoría de grafos
519.2  Probabilidad. Estadística matemática
519.6  Matemáticas computacionales. Análisis numérico
519.7  Cibernética matemática
519.8  Investigación operativa (IO): teorías y métodos matemáticos
519.83  Teoría de juegos
519.85  Programación matemática
52  Astronomía. Astrofísica. Investigación espacial. Geodesia
520  Instrumentos y técnicas astronómicas
521  Astronomía teórica. Mecánica celeste
521.9  Astrometría. Astronomía esférica
523  El Sistema Solar
523.3  Sistema Tierra-Luna
523.4  Planetas y sus satélites. Planetología
523.6  Medio interplanetario. Cometas. Meteoros. Meteoritos
523.9  El Sol. Física solar
524  Estrellas. Sistemas estelares. El Universo
524.1  Rayos cósmicos. Rayos cósmicos primarios
524.3  Estrellas
524.4  Cúmulos estelares. Asociaciones de estrellas
524.5  Medio interestelar. Nebulosas galácticas
524.6  La Galaxia (Vía Láctea)
524.7  Sistemas extragalácticos
524.8  El Universo. Metagalaxia. Cosmología
528  Geodesia. Agrimensura. Fotogrametría. Teledetección. Cartografía
528.1  Teoría de errores y ajuste en geodesia y fotogrametría
528.2  Figura de la Tierra. Medición de la Tierra. Geodesia matemática. Geodesia física. Geodesia astronómica
528.3  Levantamientos geodésicos
528.4  Levantamientos de campo. Agrimensura. Catastro. Topografía. Levantamientos de ingeniería. Campos especiales de topografía
528.5  Instrumentos y equipo geodésico
528.7  Fotogrametría: aérea, terrestre
528.8  Teledetección
528.9  Cartografía. Cartografía (documentos textuales)
53  Física
53.01/.09  Subdivisión auxiliar especial para física
53.01  Teoría y naturaleza de los fenómenos
53.02  Leyes generales de los fenómenos
53.03  Producción y causas de los fenómenos
53.04  Efectos de los fenómenos
53.05  Observación y registro de los fenómenos. Indicación visual de los fenómenos
53.06  Aplicación, utilización de los fenómenos
53.07  Aparatos para la producción y estudio de los fenómenos
53.08  Principios generales y teoría de la medición y el diseño de aparatos de medición. Métodos de medición
53.09  Dependencia de los fenómenos de ciertos efectos físicos fundamentales
531/534  Mecánica
531  Mecánica general. Mecánica de cuerpos sólidos y rígidos
531-1/-9  Subdivisión auxiliar especial para mecánica
531-1  Unidimensional. Líneas
531-2  Bidimensional. Planos. Superficies
531-3  Tridimensional. Cuerpos. Espacios
531-4  Hiperespacio (espacio de más de tres dimensiones)
531-9  Espacios no euclidianos
531.1  Cinemática. Geometría matemático-mecánica del movimiento
531.2  Estática. Fuerzas. Equilibrio. Atracción
531.3  Dinámica. Cinética
531.4  Trabajo. Peso. Masa. Fricción. Resistencias pasivas
531.5  Gravedad. Gravitación. Péndulos. Balística
531.6  Energía mecánica. Conservación de la energía mecánica
531.7  Medición de magnitudes geométricas y mecánicas: instrumentos, métodos y unidades
531.8  Teoría de las máquinas. Mecánica técnica en general
532  Mecánica de fluidos en general. Mecánica de líquidos (hidromecánica)
532.1  Hidrostática en general
532.2  Equilibrio de líquidos
532.3  Cuerpos sumergidos. Cuerpos flotantes
532.5  Movimiento de líquidos. Hidrodinámica
532.6  Fenómenos de superficie. Tensión superficial. Capilaridad
532.7  Teoría cinética de los líquidos. Ósmosis. Solución y soluciones
533  Mecánica de gases. Aeromecánica. Física del plasma
533.1  Propiedades de los gases
533.2  Elasticidad. Compresibilidad. Licuefacción. Mezcla de gases. Mezclas gaseosas
533.5  Gases enrarecidos. Física del vacío
533.6  Aerodinámica
533.7  Teoría cinética de los gases. Continuidad del estado
533.9  Física del plasma
534  Vibraciones. Ondas. Acústica
534.1  Vibración de los cuerpos. Excitación de vibraciones. Formaciones vibratorias con masa y elasticidad distribuidas
534.2  Propagación de vibraciones. Procesos en el campo acústico
534.3  Sonidos musicales y percepción
534.4  Análisis y síntesis de sonidos
534.5  Composición de vibraciones
534.6  Mediciones acústicas
534.7  Acústica fisiológica. Acústica médica
534.8  Aplicaciones de la acústica (teoría)
535  Óptica
535-1/-9  Subdivisión auxiliar especial para óptica
535-1/-3  Radiación según la longitud de onda. Ondas hertzianas. Colores de la luz
535-1  Ondas largas. Infrarrojo
535-2  Luz visible. Colores
535-3  Ondas cortas
535-4  Luz polarizada
535-5  Luz natural
535-6  Luz parcialmente polarizada
535-7  Luz totalmente reflejada
535.1  Teoría de la luz
535.2  Propagación y energética de la radiación. Fotometría
535.3  Propagación. Reflexión. Refracción. Absorción. Emisión
535.4  Interferencia. Difracción. Dispersión por difracción
535.5  Polarización. Doble refracción. Dispersión en cuerpos anisotrópicos
535.6  Colores y sus propiedades. Teoría del color
535.8  Aplicaciones de la óptica en general
536  Calor. Termodinámica. Física estadística
536.1  Teoría general del calor
536.2  Conducción del calor. Transferencia de calor
536.3  Efecto de los cuerpos sobre la radiación térmica
536.4  Efecto del aporte de calor y de la temperatura sobre el volumen y la estructura de los cuerpos
536.5  Temperatura. Escalas de temperatura. Medición de la temperatura. Termómetros. Control de temperatura
536.6  Medición de la cantidad de calor. Calorimetría
536.7  Termodinámica. Energética
537  Electricidad. Magnetismo. Electromagnetismo
537.2  Electricidad estática. Electrostática
537.3  Electricidad dinámica. Corriente eléctrica. Electrocinesis
537.5  Fenómenos electrónicos e iónicos
537.6/.8  Magnetismo. Electromagnetismo
537.6  Magnetismo
537.8  Electromagnetismo. Campo electromagnético. Electrodinámica
538.9  Física de la materia condensada. Física del estado sólido
539  Naturaleza física de la materia
539.1  Física nuclear. Física atómica. Física molecular
539.2  Propiedades y estructura de los sistemas moleculares
539.3  Elasticidad. Deformación. Mecánica de sólidos elásticos
539.4  Resistencia. Resistencia al estrés
539.5  Propiedades de los materiales que afectan la deformabilidad
539.6  Fuerzas intermoleculares
539.8  Otros efectos físico-mecánicos
54  Química. Cristalografía. Mineralogía
54-1/-4  Subdivisión auxiliar especial para el estado de la sustancia, productos químicos
54-1  Estado de la sustancia
54-3  Tipos particulares de compuestos
54-4  Productos químicos. Reactivos
54.01/.08  Subdivisión auxiliar especial para composición, producción, preparación y análisis
54.01  Sustancias y sistemas químicos. Origen. Ocurrencia. Fases
54.02  Composición. Estructura. Isótopos
54.05  Producción. Preparación. Aislamiento. Purificación, etc.
54.06  Análisis, investigación y manejo en general
54.07  Aparatos y equipo para preparación, investigación y análisis
54.08  Principios de medición, métodos, técnicas. Instrumentación
542  Química de laboratorio práctica. Química preparativa y experimental
542.1  Laboratorios químicos
542.2  Aparatos e instrumentación de laboratorio en general. Métodos de laboratorio en general
542.3  Medición de peso, masa. Medición de volumen
542.4  Aplicación de calor y frío
542.5  Uso de llamas. Sopletes
542.6  Trabajo con líquidos
542.7  Trabajo con gases
542.8  Operaciones físicas, fisicoquímicas y eléctricas
542.9  Reacciones químicas. Procesos químicos especiales
543  Química analítica
543.2  Métodos químicos de análisis
543.3  Muestreo y análisis del agua
543.4  Métodos de análisis espectral. Métodos de análisis óptico
543.5  Métodos fisicoquímicos de análisis (distintos de los métodos ópticos)
543.6  Análisis de diferentes sustancias. Control analítico en condiciones de producción
543.9  Análisis por reacciones biológicas y bioquímicas. Métodos biológicos utilizados para fines analíticos
544  Química física
544.01/.07  Subdivisión auxiliar especial para química física
544.01  Sustancias y sistemas químicos. Origen. Estado natural. Fases
544.02  Composición química. Estructura. Isótopos, etc.
544.03  Propiedades físicas y fenómenos. Constantes. Efectos que actúan sobre el estado y las propiedades de la materia
544.07  Instrumentos y equipo
544.1  Estructura química de la materia
544.2  Química física de sólidos, líquidos y gases
544.3  Termodinámica química
544.4  Cinética química. Catálisis
544.5  Química de los procesos de alta energía
544.6  Electroquímica
544.7  Química de los fenómenos de superficie y coloides
546  Química inorgánica
546.1  No metales y metaloides en general
546.3  Metales en general
547  Química orgánica
547.1  Clasificación de compuestos orgánicos. Compuestos elemento-orgánicos
548/549  Ciencias mineralógicas. Cristalografía. Mineralogía
548  Cristalografía
548.1  Cristalografía matemática. Teoría del continuo de los cristales
548.2  Crecimiento de cristales. Agregados cristalinos
548.3  Química de cristales
548.4  Irregularidades en los cristales
548.5  Formación, crecimiento y solución de cristales
548.7  Estructura fina de los cristales. Teoría del discontinuo de los cristales
549  Mineralogía. Estudio especial de los minerales
549.2/.8  Mineralogía sistemática
549.2  Elementos nativos y aleaciones
549.3  Sulfuros. Sulfosales
549.4  Haluros
549.5  Compuestos de oxígeno
549.6  Silicatos. Titanatos. Zirconatos. Estannatos
549.7  Otros compuestos de oxiácidos
549.8  Minerales orgánicos
55  Ciencias de la Tierra. Ciencias geológicas
550  Ciencias auxiliares de la geología
550.1  Fisiografía
550.2  Geoastronomía. Cosmogonía
550.3  Geofísica
550.4  Geoquímica
550.7  Geobiología. Acciones geológicas de los organismos
550.8  Geología y geofísica aplicada. Prospección y exploración geológica. Interpretación de resultados
550.93  Geocronología. Datación geológica. Determinación de la edad geológica absoluta
551  Geología general. Meteorología. Climatología. Geología histórica. Estratigrafía. Paleogeografía
551.1/.4  Geología general
551.1  Estructura general de la Tierra
551.2  Geodinámica interna (procesos endógenos)
551.21  Vulcanicidad. Vulcanismo. Volcanes. Fenómenos eruptivos. Erupciones
551.24  Geotectónica
551.3  Geodinámica externa (procesos exógenos)
551.32  Glaciología
551.4  Geomorfología. Estudio de las formas físicas de la Tierra
551.44  Espeleología. Cuevas. Fisuras. Aguas subterráneas
551.46  Oceanografía física. Topografía submarina. Fondo marino
551.5  Meteorología
551.58  Climatología
551.7  Geología histórica. Estratigrafía
551.8  Paleogeografía
552  Petrología. Petrografía
552.1  Características y propiedades de las rocas en general. Petrología física y fisicoquímica
552.3/.6  Petrología ígnea, sedimentaria y metamórfica
552.3  Rocas magmáticas. Rocas ígneas
552.4  Rocas metamórficas
552.5  Rocas sedimentarias
552.6  Meteoritos
553  Geología económica. Depósitos minerales
553.2  Formación de menas. Formación mineral
553.3/.9  Yacimientos de menas y otros minerales. Recursos naturales
553.3  Depósitos de menas (depósitos minerales metalíferos) en general. Menas de hierro y manganeso
553.4  Depósitos de menas distintos del hierro y el manganeso
553.5  Depósitos de piedra natural
553.6  Depósitos de diversos minerales económicos inorgánicos y tierras (principalmente no metalíferos)
553.7  Manantiales minerales
553.8  Yacimientos de piedras preciosas y semipreciosas. Yacimientos de gemas
553.9  Yacimientos de rocas carbonáceas. Yacimientos de hidrocarburos
556  Hidrosfera. El agua en general. Hidrología
556.3  Hidrología de aguas subterráneas. Geohidrología. Hidrogeología
556.5  Hidrología de aguas superficiales. Hidrología terrestre
56  Paleontología
57  Ciencias biológicas en general
57.01/.08  Subdivisión auxiliar especial para aspectos teóricos, características, factores, etc., en biología
57.01  Leyes generales. Aspectos teóricos. Características. Propiedades
57.02  Procesos biológicos y etológicos
57.03  Patrón de variaciones de propiedades
57.04  Factores. Influencias
57.05  Características dependientes de procesos de control. Principios de procesos de control a varios niveles
57.06  Nomenclatura y clasificación de organismos. Taxonomía
57.07  Paleontología analítica
57.08  Técnicas biológicas, métodos experimentales y equipo en general
572  Antropología física
572.1/.4  Antropogenia. Desarrollo humano en general. Origen de la especie humana
572.9  Antropogeografía especial. Grupos individuales de ascendencia humana
573  Biología general y teórica
574  Ecología general y biodiversidad
575  Genética general. Citogenética general
576  Biología celular y subcelular. Citología
577  Bases materiales de la vida. Bioquímica. Biología molecular. Biofísica
578  Virología
579  Microbiología
579.2  Microbiología general
579.6  Microbiología aplicada
579.8  Clasificación y sistemática de microorganismos
58  Botánica
581  Botánica general
581.1  Fisiología vegetal
581.2  Enfermedades de las plantas. Patología vegetal. Fitopatología
581.3  Embriología de las plantas
581.4  Morfología vegetal. Anatomía vegetal
581.5  Hábitos de las plantas. Comportamiento vegetal. Ecología vegetal. Etología vegetal. La planta y su entorno. Bionomía de las plantas
581.6  Botánica aplicada. Uso de las plantas. Tecnobotánica. Botánica económica
581.8  Histología vegetal
581.9  Botánica geográfica. Geografía de las plantas (fitogeografía). Floras. Distribución geográfica de las plantas
582  Botánica sistemática
582.091/.099  Subdivisiones auxiliares especiales para la clasificación de plantas según tamaño y forma
582.091  Árboles (plantas leñosas grandes con tronco)
582.093  Arbustos (plantas leñosas más pequeñas sin un solo tronco)
582.095  Maleza. Subarbustos (p. ej., zarzas - Rosoideae)
582.097  Trepadoras leñosas (p. ej., hiedra - Araliaceae)
582.099  Plantas herbáceas o no leñosas (a menudo llamadas 'plantas' o 'flores')
582.23  Bacterias (como plantas)
582.24  Protistas. Chromista
582.261/.279  Algas
582.28  Hongos. Eumycota / Eumycetes (hongos verdaderos). Mohos
582.29  Líquenes
582.32/.998  Plantae (plantas)
582.32  Bryophyta (Musgos)
582.361/.99  Tracheophyta (plantas vasculares)
582.37/.39  Pteridophyta. Helechos. Aliados de los helechos. Plantas de esporas similares a los helechos
582.4  Spermatophyta (fanerógamas / plantas con semillas)
582.42/.49  Gimnospermas (plantas de semillas desnudas)
582.44  Cycadophyta (cicadas). Cycadopsida
582.46  Ginkgophyta. Ginkgoopsida. Ginkgoales
582.47  Pinophyta / Coniferae (coníferas). Pinopsida
582.5/.9  Magnoliophyta (angiospermas / plantas de semillas cubiertas)
582.5  Monocotyledoneae / Liliopsida (monocotiledóneas)
582.51  Arecales (palmeras). Pandanales. Acorales. Petrosaviales
582.53  Alismatales
582.54/.56  Commelínidas
582.54  Poales
582.56  Zingiberales
582.57  Liliales / Liliiflorae
582.58  Asparagales
582.6/.9  Dicotyledoneae / Magnoliopsida (dicotiledóneas)
582.62  Fagales
582.622  Betulaceae (familia del abedul)
582.623  Fagaceae (familia de la haya)
582.628  Juglandaceae (familia de la nuez)
582.63  Rosales
582.634  Moraceae (familia de la mora)
582.637  Ulmaceae (familia del olmo)
582.639  Rosaceae (familia de la rosa)
582.65  Nymphaeales. Ranunculales. Sabiales
582.66  Caryophyllales / Centrospermae
582.67  Magnólidas (científicamente obsoleto)
582.672  Piperales
582.673  Laurales
582.677  Magnoliales
582.68  Dilleniidae (científicamente obsoleto)
582.681  Malpighiales
582.682  Cucurbitales
582.683  Brassicales / Capparidales / Capparales
582.685  Malvales
582.688  Ericales
582.7  Rosidae (rósidas)
582.70  Saxifragales
582.73  Fabales
582.74  Sapindales
582.75  Geraniales
582.77  Myrtales
582.79  Apiales
582.82  Vitales
582.9  Asteridae (astéridas)
582.92  Gentianales
582.93  Solanales
582.94  Lamiales
582.99  Asterales
59  Zoología
591  Zoología general
591.1  Fisiología animal
591.2  Enfermedades de animales (no domesticados). Patología animal
591.3  Embriología animal. Ontogenia animal. Desarrollo del organismo individual
591.4  Estudio de los órganos animales. Organología animal. Anatomía animal. Zootomía
591.5  Hábitos animales. Comportamiento animal. Ecología. Etología. Animal y entorno. Bionomía
591.6  Zoología económica. Zoología aplicada
591.8  Histología animal
591.9  Zoología geográfica. Zoogeografía. Fauna. Distribución geográfica de los animales
592/599  Zoología sistemática
592  Invertebrata (invertebrados)
593.1  Protozoa
593.4  Porifera (esponjas)
594  Mollusca. Bryozoa. Brachiopoda
595  Articulata
595.7  Hexapoda. Insecta (insectos)
596/599  Chordata
596.2  Tunicata / Urochordata (tunicados)
597/599  Vertebrata (vertebrados)
597.2/.5  Pisces (peces) (científicamente obsoleto)
597.3  Chondrichthyes (peces cartilaginosos)
597.31  Elasmobranchii
597.311  Galeomorphii
597.317  Batoidea
597.4/.5  Osteichthyes (peces óseos)
597.42/.55  Actinopterygii (peces de aletas radiadas)
597.42  Chondrostei
597.5  Teleostei (teleósteos)
597.535  Anguilliformes
597.541  Clupeiformes
597.55  Euteleosti / Euteleostei
597.551  Ostariophysi
597.552  Protacanthopterygii
597.555  Paracanthopterygii
597.556  Acanthopterygii (peces de aletas espinosas)
597.6/.9  Amphibia (anfibios)
597.7  Gymnophiona (cecilias)
597.8  Anura (anfibios sin cola, ranas y sapos)
597.9  Caudata (anfibios con cola, salamandras)
597.91  Sirenidae
597.94  Salamandridae
598  Sauropsida. Synapsida
598.1/.2  Sauropsida
598.1  Reptilia (reptiles)
598.125  Testudinidae (tortugas terrestres)
598.16  Squamata (reptiles con escamas)
598.161  Lacertilia (lagartos)
598.162  Serpentes / Ophidia (serpientes, ofidios)
598.166  Amphisbaenia (culebrillas ciegas)
598.18  Crurotarsi
598.182  Crocodylomorpha
598.19  Avemetatarsalia (extintos)
598.191  Pterosauria (pterosaurios) (extintos)
598.192  Dinosauria (dinosaurios) (extintos)
598.192.32  Tyrannosauridae (extintos)
598.192.63  Diplodocidae (extintos)
598.192.77  Ceratopsidae (extintos)
598.2  Aves
598.221  Struthioniformes (ratites, como el avestruz)
598.231  Sphenisciformes. Spheniscidae (pingüinos)
598.233  Podicipediformes. Podicipedidae (somormujos)
598.234  Procellariiformes
598.235  Pelecaniformes
598.24  Gruiformes. Charadriiformes. Ciconiiformes
598.241  Gruiformes
598.243  Charadriiformes
598.244  Ciconiiformes
598.25  Anseriformes
598.26  Galliformes. Columbiformes
598.271  Psittaciformes
598.272  Piciformes
598.274  Cuculiformes. Opisthocomiformes
598.279  Cathartiformes. Accipitriformes. Falconiformes. Strigiformes
598.282  Menuridae. Maluridae. Pardalotidae. Meliphagidae. Promeropidae. Callaeidae
598.283  Alaudidae (alondras)
598.284  Hirundinidae (golondrinas y aviones)
598.285  Motacillidae (lavanderas y bisbitas)
598.286  Pycnonotidae. Aegithalidae. Acrocephalidae
598.287  Bombycillidae. Dulidae. Ptilogonatidae. Hypocoliidae
598.288  Cinclidae. Troglodytidae. Mimidae. Prunellidae. Turdidae. Silviidae. Muscicapidae. Timaliidae
598.289  Paridae. Sittidae. Certhiidae. Orthonychidae
598.291  Nectariniidae. Zosteropidae. Dicaeidae. Dicruridae. Monarchidae. Pachycephalidae
598.292  Oriolidae (oropéndolas). Laniidae (alcaudones). Irenidae. Regulidae (reyezuelos). Picathartidae
598.293  Corvidae (cuervos y urracas). Paradisaeidae (aves del paraíso). Ptilonorhynchidae. Climacteridae. Artamidae. Corcoracidae
598.294  Sturnidae. Passeridae. Ploceidae. Estrildidae
598.296  Fringillidae. Parulidae. Thraupidae. Emberizidae. Icteridae
599  Mammalia (mamíferos)
599.1  Prototheria
599.2  Metatheria
599.22  Diprotodontia
599.3/.8  Eutheria (mamíferos placentarios)
599.31  Pholidota. Xenarthra
599.311  Pholidota / Squamata. Manidae
599.312  Xenarthra / Edentata (xenartros / desdentados)
599.32  Rodentia. Lagomorpha
599.322  Sciuromorpha. Castorimorpha. Anomaluromorpha
599.324  Hystricomorpha
599.325  Lagomorpha (lagomorfos)
599.35/.38  Insectivora (mamíferos insectívoros)
599.36  Soricomorpha. Erinaceomorpha
599.39  Dermoptera. Cynocephalidae
599.4  Chiroptera (murciélagos)
599.5  Cetacea. Sirenia
599.51  Mysticeti (ballenas con barbas)
599.53  Odontoceti (ballenas con dientes)
599.55  Sirenia (sirenios / vacas marinas)
599.61/.73  Ungulata (ungulados / mamíferos con pezuña)
599.61  Proboscidea (proboscídeos)
599.62  Hyracoidea. Procaviidae
599.68  Tubulidentata. Orycteropodidae
599.72  Perissodactyla (ungulados de dedos impares)
599.721  Tapiridae (tapires)
599.722  Rhinocerotidae (rinocerontes)
599.723  Equidae
599.73  Artiodactyla (ungulados de dedos pares)
599.735  Ruminantia (rumiantes)
599.74  Carnivora (carnívoros)
599.742.5  Viverridae
599.742.6  Hyaenidae
599.742.7  Felidae
599.743  Herpestidae. Eupleridae. Nandiniidae
599.744  Canidae. Ursidae. Musteloidea
599.745  Pinnipedia
599.78  Scandentia (tupayas)
599.8  Primates
599.81  Prosimii (prosimios)
599.813  Lorisidae / Loriidae
599.815  Lemuridae. Lepilemuridae
599.818  Tarsiiformes. Tarsiidae (tarseros)
599.82/.89  Simiiformes (simios)
599.82  Platyrrhini (monos del Nuevo Mundo)
599.85  Cercopithecoidea. Cercopithecidae
599.88/.89  Hominoidea
599.88  Hylobatidae (simios menores)
599.89  Hominidae (homínidos / grandes simios)
