6  CIENCIAS APLICADAS. MEDICINA. TECNOLOGÍA
60  Biotecnología
601  Conceptos fundamentales
602  Procesos y técnicas en biotecnología
604  Productos biotecnológicos
606  Aplicaciones de la biotecnología
608  Cuestiones en biotecnología
61  Ciencias médicas
611+612  Biología humana
611  Anatomía. Anatomía humana y comparada
612  Fisiología. Fisiología humana y comparada
612.1/.8  Fisiología sistemática
612.1  Sangre. Sistema cardiovascular, sistema circulatorio
612.2  Respiración. Aliento. Sistema respiratorio
612.3  Alimentación. Comer. Digestión. Nutrición
612.4  Sistema glandular. Secreción. Excreción
612.5  Calor animal. Procesos térmicos
612.6  Reproducción. Crecimiento. Desarrollo
612.7  Funciones motoras. Órganos de locomoción. Voz. Tegumento
612.8  Sistema nervioso. Órganos sensoriales
613  Higiene en general. Salud e higiene personal
613.2  Dietética. Principios de nutrición aplicados a la alimentación y los alimentos
613.3  Bebidas. Bebidas curativas. Aguas medicinales. Dieta líquida
613.4  Higiene personal. Vestimenta
613.5  Higiene de la vivienda
613.6  Riesgos para la salud laboral. Salud e higiene en el trabajo
613.7  Salud e higiene del ocio, recreación, sueño
613.8  Salud e higiene del sistema nervioso. Salud y ética
613.9  Salud e higiene en relación con la edad, el sexo y la etnia
614  Salud e higiene pública. Prevención de accidentes
614.1  Población. Despoblación
614.2  Organización pública y profesional de la salud
614.3  Inspección y control sanitario
614.39  Servicios nacionales de salud
614.4  Prevención y control de enfermedades transmisibles (infecciosas, contagiosas). Prevención de epidemias
614.6  Higiene de cementerios. Disposición de los muertos
614.7  Higiene del aire, el agua y el suelo. Contaminación y su control
614.8  Accidentes. Riesgos. Peligros. Prevención de accidentes. Protección personal. Seguridad
614.9  Salud animal. Higiene veterinaria
615  Farmacología. Terapéutica. Toxicología
615.1  Farmacia general y profesional
615.2  Medicamentos según su acción principal
615.3  Medicamentos según su origen
615.4  Preparaciones farmacéuticas. Material médico. Equipo
615.8  Fisioterapia. Terapia física. Radioterapia. Otros tratamientos terapéuticos no medicinales
615.9  Toxicología general. Estudios generales de venenos y envenenamiento (intoxicación)
616  Patología. Medicina clínica
616-001/-009  Subdivisión auxiliar especial para procesos mórbidos
616-001  Traumatismos. Lesiones. Heridas
616-002  Inflamación. Irritación. Congestión (hiperemia). Congestión mucosa
616-003  Procesos regresivos y reparativos
616-004  Esclerosis. Endurecimiento (induración). Cirrosis
616-005  Trastornos circulatorios locales
616-006  Tumores. Neoplasias. Blastomas. Coristomas. Hamartomas. Oncología
616-007  Desarrollo estructural defectuoso. Deformidades fisiológicas. Malformaciones. Teratología. Monstruos. Anomalías
616-008  Trastornos funcionales y metabólicos
616-009  Trastornos neuronales (nerviosos)
616-01/-099  Subdivisión auxiliar especial para aspectos generales de la patología
616-01  Varios aspectos de la enfermedad, los pacientes y la intervención médica
616-02  Etiología. Ciencia de las causas de la enfermedad
616-03  Diversas formas de enfermedad, de tratamiento, de administración de medicamentos
616-05  Personas y características personales en patología. Características del paciente
616-06  Complicaciones. Consecuencias. Repercusiones. Concurrencia, estado simultáneo. Correlación. Enfermedades previas. Estado de salud previo
616-07  Semiología. Sintomatología. Signos y síntomas. Examen. Diagnóstico. Propedéutica
616-08  Tratamiento
616-091  Anatomía patológica. Anatomía mórbida
616-092  Fisiología patológica. Procesos, modo de acción de las enfermedades. Patogenia. Estudio del origen de las enfermedades
616-093  Técnicas microbianas
616-094  Morfología microbiana
616-095  Fisiología microbiana
616-097  Inmunogenicidad
616-098  Física, química, metabolismo y catabolismo microbiano
616-099  Envenenamiento. Intoxicación
616-71/-78  Subdivisión auxiliar especial para instrumentación y equipo médico y quirúrgico
616-71  Instrumentos y equipo médico en general
616-72  Instrumentos quirúrgicos y terapéuticos
616-74  Materiales y equipo de refuerzo y reparación
616-76  Aparatos correctivos y protectores, ayudas, etc.
616-77  Materiales y partes protésicas. Órganos artificiales, etc.
616-78  Máquinas y aparatos mecánicos
616.1/.9  Patología especial
616.1  Patología del sistema circulatorio, vasos sanguíneos. Dolencias cardiovasculares
616.2  Patología del sistema respiratorio. Dolencias de los órganos respiratorios
616.3  Patología del sistema digestivo. Dolencias del tubo digestivo
616.31  Estomatología. Cavidad oral. Boca. Enfermedades de la boca y los dientes
616.4  Patología del sistema linfático, órganos hematopoyéticos, endocrinos
616.5  Piel. Tegumento común. Dermatología clínica. Dolencias cutáneas
616.6  Patología del sistema urogenital. Dolencias urinarias y sexuales (genitales). Urología
616.7  Patología de los órganos de locomoción. Sistemas esquelético y locomotor
616.8  Neurología. Neuropatología. Sistema nervioso
616.89  Psiquiatría. Psiquiatría patológica. Psicopatología. Frenopatías. Psicosis. Anormalidad mental. Estados mentales mórbidos. Trastornos del comportamiento y emocionales
616.9  Enfermedades transmisibles. Enfermedades infecciosas y contagiosas, fiebres
617  Cirugía. Ortopedia. Oftalmología
617.3  Ortopedia en general
617.7  Oftalmología. Trastornos oculares y tratamiento
618  Ginecología. Obstetricia
62  Ingeniería. Tecnología en general
62-1/-9  Subdivisión auxiliar especial para tecnología en general
62-1  Características generales de las máquinas
62-2  Partes fijas y móviles, componentes de máquinas
62-3  Partes de control de fluidos y transmisiones. Válvulas, cierres, etc.
62-4  Estado, condición, forma de materiales, superficies, objetos, productos
62-5  Operación y control de máquinas y procesos
62-6  Combustible y otras características de fuentes de calor de maquinaria e instalaciones
62-7  Dispositivos para el servicio, mantenimiento y protección de máquinas
62-8  Máquinas según el poder motriz, fuerza propulsora. Fuente de energía de la máquina
62-9  Variables, condiciones y características de procesos de producción, planta y equipo
62-91  Estado de las características materiales y variables
62-92  Reacciones en términos de reactivos. Reactivos
62-93  Procesos, máquinas y equipo según el modo de trabajo, continuidad, asociaciones, medios
62-94  Dirección, velocidad, ritmo, duración de procesos, etc.
62-95  Procesos simples y múltiples. Procesos de una sola etapa y de múltiples etapas
62-96  Procesos en términos de alteración de las propiedades del producto. Modificación en general
62-97  Características térmicas. Temperatura. Rango de temperatura
62-98  Presión. Rango de presión
620  Prueba de materiales. Materiales comerciales. Centrales eléctricas. Economía de la energía
620.3  Nanotecnología
620.9  Economía de la energía en general
621  Ingeniería mecánica en general. Tecnología nuclear. Ingeniería eléctrica. Maquinaria
621.1  Máquinas térmicas en general. Generación, distribución y uso del vapor. Motores de vapor. Calderas
621.22  Energía hidráulica. Energía del agua. Maquinaria hidráulica
621.3  Ingeniería eléctrica
621.4  Motores térmicos (excepto motores de vapor)
621.5  Energía neumática, maquinaria y herramientas. Refrigeración
621.6  Planta y técnicas de manejo, almacenamiento y distribución de fluidos
621.7  Tecnología mecánica en procesos generales, herramientas, máquinas, equipo
621.8  Elementos de máquinas. Ingeniería de potencia motriz. Manejo de materiales. Fijaciones. Lubricación
621.9  Trabajo o mecanizado con formación de viruta. Trabajo abrasivo. Martillos y prensas
622  Minería
622.1  Investigación preliminar. Agrimensura y cartografía de minas. Exploración de depósitos minerales (superficie y subterráneo)
622.2  Operaciones mineras. Exploración, apertura, desarrollo, explotación de depósitos minerales
622.3  Minería de minerales específicos, menas, rocas
622.4  Ventilación, aire acondicionado, calefacción e iluminación de minas
622.5  Drenaje de minas. Desagüe (deshidratación)
622.6  Transporte y manejo. Izado. Bobinado. Transporte de superficie
622.7  Tratamiento, procesamiento de minerales. Preparación de minerales. Preparación de menas
622.8  Riesgos mineros, accidentes y daños. Protección de la salud y seguridad en las minas
623  Ingeniería militar
623.1/.7  Ingeniería militar terrestre. Artillería
623.1/.3  Ingeniería de campo. Fortificaciones. Obras de defensa
623.1  Fortalezas. Fortificaciones permanentes. Líneas y áreas fortificadas
623.2  Obras de asalto y defensa. Obras de sitio. Fortificaciones de campo. Obras de trinchera
623.3  Campos de minas terrestres. Obstáculos de campo. Inundaciones
623.4  Armamentos. Artillería. Armas. Cañones. Pequeñas armas. Armas blancas. Vehículos de servicio blindados y otros. Municiones y gases de guerra. Misiles guiados y cohetes
623.5  Balística. Artillería (tiro). Problemas teóricos y experimentales
623.6  Equipo y operaciones de ingeniería de campo. Líneas de comunicación. Contramedidas de radar. Topografía militar
623.7  Aviación militar y naval. Defensa aérea
623.8/.9  Ingeniería naval
623.8  Construcción naval. Bases navales. Buques de guerra y otros vasos
623.9  Material y equipo de fuerzas navales. Protección y armamento de vasos. Defensas submarinas
624  Ingeniería civil y estructural en general
624.01/.07  Subdivisión auxiliar especial para ingeniería civil y estructural
624.01  Estructuras y partes estructurales según el material y método de construcción
624.03  Tamaño, permanencia, ubicación y forma de las estructuras
624.04  Diseño estructural. Estática gráfica y analítica para investigación y cálculo de estructuras
624.05  Sitio, organización y planta. Métodos de construcción
624.07  Elementos estructurales. Miembros de carga
624.1  Subestructuras. Movimientos de tierra. Cimientos. Túneles
624.21/.8  Construcción de puentes
624.3  Puentes de armadura (puentes de viga de celosía)
624.5  Puentes de cables. Puentes colgantes
624.6  Puentes de arco
624.8  Puentes móviles
624.9  Superestructuras (excepto puentes). Superestructuras completas en sí mismas
625  Ingeniería civil de transporte terrestre. Ingeniería ferroviaria. Ingeniería de carreteras
625.1/.5  Ferrocarriles. Tranvías. Teleféricos
625.1  Ferrocarriles en general. Vía permanente. Construcción de vías
625.5  Teleféricos. Funiculares. Ferrocarriles suspendidos. Tranvías aéreos y teleféricos de cuerda. Telferes
625.7/.8  Ingeniería de carreteras
625.7  Carreteras en general. Caminos. Calzadas. Calles. Sistemas de carreteras rurales y urbanas
625.8  Pavimentación de carreteras. Pavimento, capa de rodadura. Preparación y uso de materiales
626+627  Ingeniería e infraestructura hidráulica. Estructuras acuáticas
626  Ingeniería hidráulica en general
626.1  Vías navegables interiores. Canales. Ríos canalizados
626.4  Esclusas
626.5  Mecanismos de elevación y planos inclinados para barcos
626.8  Hidráulica agrícola. Ingeniería de riego, drenaje y recuperación de tierras
626.9  Canales marítimos. Canales para barcos
