1  PHILOSOPHY. PSYCHOLOGY
101  Nature and role of philosophy
11  Metaphysics
111  General metaphysics. Ontology
113/119  Cosmology. Philosophy of nature
122/129  Special metaphysics
13  Philosophy of mind and spirit. Metaphysics of spiritual life
130.1  General concepts and laws
130.2  Philosophy of culture. Cultural systems. Theory of cultural complexes
130.3  Metaphysics of spiritual life
133  The paranormal. The occult. Psi phenomena
14  Philosophical systems and points of view
140  Possible philosophical attitudes. System typology
141  Kinds of viewpoint
159.9  Psychology
159.91  Psychophysiology (physiological psychology). Mental physiology
159.92  Mental development and capacity. Comparative psychology
159.93  Sensation. Sensory perception
159.94  Executive functions
159.942  Emotions. Affections. Sensibility. Feelings
159.943  Conation and movement
159.944  Work and fatigue. Efficiency
159.946  Special motor functions
159.947  Volition. Will
159.95  Higher mental processes
159.96  Special mental states and processes
159.97  Abnormal psychology
159.98  Applied psychology (psychotechnology) in general
16  Logic. Epistemology. Theory of knowledge. Methodology of logic
161/162  Fundamentals of logic
164  Logistic. Symbolic logic. Mathematical logic. Logical calculus
165  Theory of knowledge. Epistemology
165.6/.8  Epistemological viewpoints and doctrines
167/168  Logical methodology
17  Moral philosophy. Ethics. Practical philosophy
171  Individual ethics. Human duties to oneself
172  Social ethics. Duties to one`s fellow humans
173  Family ethics
176  Sexual ethics. Sexual morality
177  Ethics and society
