 expand all | collapse all
2  RELIGION. THEOLOGY
2-1/-9  Special auxiliary subdivision for religion
2-1  Theory and philosophy of religion. Nature of religion. Phenomenon of religion
2-13  The Holy. The sacred. The supernatural. Object(s) of religion/worship
2-14  God. Gods (Personalised god(s) as distinct from immanent spirits)
2-15  Nature of god(s)
2-17  The universe. Nature of the universe. Cosmology
2-18  Man. Mankind. Humanity. Doctrinal anthropology
2-184  Man's relation to god(s)
2-2  Evidences of religion
2-23  Sacred books. Scriptures. Religious texts
2-25  Secondary literature. Pseudo-canonical works
2-27  Critical works
2-28  Other religious texts
2-3  Persons in religion
2-31  Originator, founder, central figure of the faith
2-32  Messiah(s)
2-34  Martyrs
2-35  Ascetics. Hermits. Fakirs
2-36  Saints. Bodhisattvas. Enlightened ones
2-37  Mahatmas. Gurus. Wise men
2-38  Charismatics. Persons with supernatural powers
2-4  Religious activities. Religious practice
2-42  Moral behaviour. Moral theology
2-43  Social customs and practice. Social theology
2-46  Charity. Support for others. Pastoral activities. Pastoral theology in the broad sense
2-47  Education in religion
2-475  Preaching (as education and instruction)
2-5  Worship broadly. Cult. Rites and ceremonies
2-523  Buildings for religious use. Ecclesiology
2-526  Objects in worship. Furnishings and decorations
2-53  Acts of worship (by participants)
2-54  Ceremonies by purpose
2-55  Sacraments. Sacramentals
2-56  Celebration
2-6  Processes in religion
2-65  Comparison of religions
2-67  Relations between faiths or with society in general. Religion and society
2-7  Religious organization and administration
2-72  Nature and structure of the organized religion, church. Ecclesiology
2-73  Government of the religion
2-74  Legal administration. Religious law. Canon law
2-76  Recruitment. Missionary activity. Missions broadly. Missiology
2-77  Organizational structure of the faith, religion
2-78  Religious organizations. Religious societies and associations
2-8  Religions characterised by various properties
2-84  Properties relating to the state
2-87  Schismatic groups. Heresies
2-9  History of the faith, religion, denomination or church
21/29  Religious systems. Religions and faiths
21  Prehistoric religions. Religions of early societies
212  Prehistoric religions
213  Religions of early societies
22  Religions originating in the Far East
221  Religions of China
221.3  Taoism
223  Religions of Korea
225  Religions of Japan
23  Religions originating in Indian sub-continent. Hindu religion in the broad sense
233  Hinduism narrowly
234  Jainism
235  Sikhism
24  Buddhism
241  Hinayana Buddhism. The lesser vehicle. Theravada Buddhism. Pali school
242  Mahayana Buddhism. The great vehicle
243  Lamaism
244  Japanese Buddhism
25  Religions of antiquity. Minor cults and religions
251  Ancient Egyptian religion
252  Religions of Mesopotamia
254  Religions of Iran
255  Religions of classical antiquity
257  Religions of Europe
258  Religions of South and Central America. Pre-Columbian indigenous religions
26  Judaism
261  Religion of the Biblical period. Ancient Judaism. Old Testament religion
262  Ashkenazi Judaism
264  Sephardi Judaism
265  Orthodox Judaism
266  Progressive Judaism
267  Modern movements arising from Judaism
27  Christianity
271/279  Christian churches and denominations
271  Eastern Church. Eastern Christianity
272/279  Western Church. Western Christianity
272/273  Catholic church
272  Roman Catholic church
273  Non-Roman Catholic episcopal churches
274/278  Protestant churches
274  Protestantism generally. Protestants. Dissenters. Puritans
275  Re-formed churches
276  Anabaptists
277  Free churches. Non-conformists
278  Other protestant churches
279  Modern Christian movements and churches
28  Islam
281  Sufism
282  Sunni. Sunnite Islam
284  Shi'a. Shi'ite Islam
285  Babi-Baha'i
286  Baha'i
29  Modern spiritual movements
